2014,Shane Vereen,3,2495473
2013,Shane Vereen,1,2495473
2015,Marshawn Lynch,53,2495663
2014,Marshawn Lynch,45,2495663
2013,Marshawn Lynch,45,2495663
2016,DeAngelo Williams,6,2495979
2014,Deangelo Williams,1,2495979
2016,Frank Gore,4,2506404
2015,Frank Gore,19,2506404
2014,Frank Gore,16,2506404
2013,Frank Gore,25,2506404
2014,Darren Sproles,4,2506467
2013,Darren Sproles,13,2506467
2016,Adrian Peterson,56,2507164
2015,Adrian Peterson,59,2507164
2014,Adrian Peterson,63,2507164
2013,Adrian Peterson,62,2507164
2016,Chris Ivory,4,2507999
2015,Chris Ivory,4,2507999
2013,Chris Ivory,10,2507999
2014,Brandon Bolden,2,2532797
2016,Doug Martin,30,2532899
2015,Doug Martin,10,2532899
2014,Doug Martin,30,2532899
2013,Doug Martin,47,2532899
2016,Lamar Miller,45,2533034
2015,Lamar Miller,16,2533034
2013,Lamar Miller,13,2533034
2015,Ronnie Hillman,4,2533437
2013,Ronnie Hillman,10,2533437
2014,Alfred Morris,23,2533457
2013,Alfred Morris,37,2533457
2013,Daryl Richardson,4,2534789
2015,Andre Ellington,9,2539217
2014,Andre Ellington,29,2539217
2016,Christine Michael,6,2539322
2015,Theo Riddick,1,2540020
2016,Giovani Bernard,4,2540156
2015,Giovani Bernard,4,2540156
2014,Giovani Bernard,22,2540156
2013,Giovani Bernard,5,2540156
2016,Eddie Lacy,38,2540168
2015,Eddie Lacy,56,2540168
2014,Eddie Lacy,46,2540168
2013,Eddie Lacy,12,2540168
2016,Le'Veon Bell,47,2540175
2015,Le'Veon Bell,56,2540175
2014,Le'Veon Bell,23,2540175
2016,Spencer Ware,3,2540204
2016,C.J. Anderson,28,2540269
2015,C.J. Anderson,51,2540269
2016,Latavius Murray,23,2541161
2015,Latavius Murray,16,2541161
2015,Khiry Robinson,1,2542022
2014,Khiry Robinson,1,2542022
2015,Tre Mason,3,2543502
2016,Devonta Freeman,47,2543583
2014,Devonta Freeman,1,2543583
2015,Alfred Blue,26,2543600
2015,Alfred Blue,4,2543600
2016,Jeremy Hill,20,2543603
2015,Jeremy Hill,36,2543603
2015,Bishop Sankey,2,2543682
2014,Bishop Sankey,10,2543682
2016,Carlos Hyde,20,2543743
2015,Carlos Hyde,15,2543743
2014,Carlos Hyde,1,2543743
2015,Isaiah Crowell,3,2550189
