["Mark Ingram", 2495466, "RB"]
["Taiwan Jones", 2495467, "RB"]
["Dion Lewis", 2495469, "RB"]
["Stevan Ridley", 2495470, "RB"]
["Jacquizz Rodgers", 2495471, "RB"]
["Jordan Todman", 2495472, "RB"]
["Shane Vereen", 2495473, "RB"]
["Marshawn Lynch", 2495663, "RB"]
["Greg Olsen", 2495700, "TE"]
["Drew Stanton", 2495748, "QB"]
["Jay Cutler", 2495824, "QB"]
["Vernon Davis", 2495826, "TE"]
["Anthony Fasano", 2495835, "TE"]
["Marcedes Lewis", 2495888, "TE"]
["Brandon Marshall", 2495893, "WR"]
["Delanie Walker", 2495966, "TE"]
["DeAngelo Williams", 2495979, "RB"]
["David Ausberry", 2499277, "TE"]
["Phil Dawson", 2500351, "K"]
["Adam Vinatieri", 2503471, "K"]
["Tom Brady", 2504211, "QB"]
["Sebastian Janikowski", 2504257, "K"]
["Drew Brees", 2504775, "QB"]
["Matt Bryant", 2504797, "K"]
["Shaun Hill", 2504833, "QB"]
["Josh McCown", 2505076, "QB"]
["Carson Palmer", 2505245, "QB"]
["Antonio Gates", 2505299, "TE"]
["Tony Romo", 2505354, "QB"]
["Anquan Boldin", 2505587, "WR"]
["Jason Witten", 2505629, "TE"]
["Matt Schaub", 2505982, "QB"]
["Eli Manning", 2505996, "QB"]
["Luke McCown", 2506053, "QB"]
["Larry Fitzgerald", 2506106, "WR"]
["Ben Roethlisberger", 2506109, "QB"]
["Philip Rivers", 2506121, "QB"]
["Benjamin Watson", 2506122, "TE"]
["John Kuhn", 2506147, "RB"]
["Nick Novak", 2506194, "K"]
["Robbie Gould", 2506264, "K"]
["Alex Smith", 2506340, "QB"]
["Aaron Rodgers", 2506363, "QB"]
["Mike Nugent", 2506386, "K"]
["Vincent Jackson", 2506400, "WR"]
["Frank Gore", 2506404, "RB"]
["Darren Sproles", 2506467, "RB"]
["Derek Anderson", 2506546, "QB"]
["Matt Cassel", 2506562, "QB"]
["Ryan Fitzpatrick", 2506581, "QB"]
["Matt Prater", 2506677, "K"]
["Kellen Clemens", 2506895, "QB"]
["Stephen Gostkowski", 2506922, "K"]
["Eric Weems", 2507029, "WR"]
["Adrian Peterson", 2507164, "RB"]
["Ted Ginn", 2507166, "WR"]
["Brent Celek", 2507218, "TE"]
["Nick Folk", 2507225, "K"]
["Mason Crosby", 2507232, "K"]
["Matt Moore", 2507282, "QB"]
["Stephen Hauschka", 2507374, "K"]
["Dan Carpenter", 2507401, "K"]
["Matthew Mulligan", 2507405, "TE"]
["Mike Tolbert", 2507428, "RB"]
["Connor Barth", 2507463, "K"]
["Kellen Davis", 2507486, "TE"]
["Mike Wallace", 2507763, "WR"]
["Logan Paulsen", 2507828, "TE"]
["Victor Cruz", 2507855, "WR"]
["Jeff Cumberland", 2507883, "TE"]
["Chris Ivory", 2507999, "RB"]
["Antonio Brown", 2508061, "WR"]
["Andrew Hawkins", 2508097, "WR"]
["James Develin", 2508101, "RB"]
["T.J. Yates", 2508123, "QB"]
["Bryan Walters", 2528181, "WR"]
["Chris Hogan", 2530515, "WR"]
["Jeremy Ross", 2530598, "WR"]
["Kamar Aiken", 2530660, "WR"]
["DuJuan Harris", 2530690, "RB"]
["Dontrelle Inman", 2530700, "WR"]
["Doug Baldwin", 2530747, "WR"]
["Patrick DiMarco", 2530763, "RB"]
["Chris Matthews", 2531049, "WR"]
["Terrelle Pryor", 2531332, "WR"]
["Travis Benjamin", 2532790, "WR"]
["Brandon Bolden", 2532797, "RB"]
["Kirk Cousins", 2532820, "QB"]
["Rhett Ellison", 2532835, "TE"]
["Coby Fleener", 2532838, "TE"]
["Michael Floyd", 2532841, "WR"]
["Nick Foles", 2532842, "QB"]
["Ladarius Green", 2532853, "TE"]
["T.Y. Hilton", 2532865, "WR"]
["Marvin Jones", 2532884, "WR"]
["Jermaine Kearse", 2532887, "WR"]
["Case Keenum", 2532888, "QB"]
["Doug Martin", 2532899, "RB"]
["Rishard Matthews", 2532903, "WR"]
["Kellen Moore", 2532917, "QB"]
["Brian Quick", 2532933, "WR"]
["Ryan Tannehill", 2532956, "QB"]
["Blair Walsh", 2532968, "K"]
["Brandon Weeden", 2532970, "QB"]
["Russell Wilson", 2532975, "QB"]
["Kendall Wright", 2532977, "WR"]
["Jarius Wright", 2532978, "WR"]
["James Hanna", 2533028, "TE"]
["Andrew Luck", 2533031, "QB"]
["Robert Griffin III", 2533033, "QB"]
["Lamar Miller", 2533034, "RB"]
["Justin Blackmon", 2533038, "WR"]
["Alshon Jeffery", 2533039, "WR"]
["Mohamed Sanu", 2533040, "WR"]
["Dwayne Allen", 2533046, "TE"]
["Austin Davis", 2533349, "QB"]
["Cory Harkey", 2533353, "TE"]
["Brock Osweiler", 2533436, "QB"]
["Ronnie Hillman", 2533437, "RB"]
["Randy Bullock", 2533444, "K"]
["Alfred Morris", 2533457, "RB"]
["Robert Turbin", 2533460, "RB"]
["Derek Carrier", 2534241, "TE"]
["Deonte Thompson", 2534436, "WR"]
["Austin Johnson", 2534437, "RB"]
["Bobby Rainey", 2534571, "RB"]
["Jonathan Grimes", 2534770, "RB"]
["Daryl Richardson", 2534789, "RB"]
["Greg Zuerlein", 2534797, "K"]
["Garrett Celek", 2534820, "TE"]
["Greg Scruggs", 2535138, "TE"]
["Phillip Supernaw", 2535535, "TE"]
["Giorgio Tavecchio", 2535686, "K"]
["Joe Banyard", 2535696, "RB"]
["Cole Beasley", 2535698, "WR"]
["Lance Dunbar", 2535708, "RB"]
["Dominique Jones", 2535724, "TE"]
["Rod Streater", 2535869, "WR"]
["Griff Whalen", 2535876, "WR"]
["Travaris Cadet", 2535890, "RB"]
["Sean McGrath", 2535943, "TE"]
